sweep,label,t_burn,thrust,count,chord,cant,range_m,alt_m,v_max,y_max,alpha_max,damp_time,status
motor,T=900N t=0.300s,0.3,900.0,nan,nan,nan,1718.2093338905481,569.126104228427,143.7062299218934,0.0,0.93809887932626,6.9376426287077795,ok
motor,T=831N t=0.325s,0.325,830.7692307692307,nan,nan,nan,1713.9376027555668,567.3462934000283,143.33598490736378,0.0,0.9630031786651014,6.951890595642306,ok
motor,T=771N t=0.350s,0.35,771.4285714285714,nan,nan,nan,1725.4172560159009,570.1136087607781,143.7867675863024,0.0,0.9814433133575471,6.957038190909312,ok
motor,T=730N t=0.370s,0.37,729.7297297297297,nan,nan,nan,1721.976684765318,568.4877350661703,143.4973959808316,0.0,1.0035582897324307,6.968710636649932,ok
motor,T=720N t=0.375s,0.375,720.0,nan,nan,nan,1723.4402307732225,568.740448260105,143.5910683505828,0.0,1.0080470846256337,6.968180855386422,ok
motor,T=711N t=0.380s,0.38,710.5263157894736,nan,nan,nan,1716.8140398984458,566.6014858815737,143.204514689351,0.0,1.016592331394153,6.973245840230643,ok
motor,T=675N t=0.400s,0.4,675.0,nan,nan,nan,1720.6777385187038,567.3341846449403,143.29051256898117,0.0,1.0357838112142046,6.979990591877505,ok
fins,n=4 c=140mm,nan,nan,4,0.14,nan,1731.8057328875552,570.6021529753833,143.75898642938915,0.0,0.8346119227446993,7.199457085502558,ok
fins,n=4 c=160mm,nan,nan,4,0.16,nan,1726.8562787850353,569.943483796098,143.7548186097691,0.0,0.8353441881241583,7.090594231795793,ok
fins,n=4 c=180mm,nan,nan,4,0.18,nan,1723.0784015479155,569.4127142571774,143.75104394631293,0.0,0.8428643452119065,6.926805627776014,ok
fins,n=4 c=200mm,nan,nan,4,0.2,nan,1718.9271864411312,568.8270065864294,143.74712452553297,0.0,0.8508602899694985,6.78659597756092,ok
fins,n=4 c=220mm,nan,nan,4,0.22,nan,1715.2167367251348,568.3089435234406,143.7435894154436,0.0,0.8594409773789773,6.685353084722,ok
fins,n=6 c=140mm,nan,nan,6,0.14,nan,1713.3723881485516,567.3599736943522,143.74132869765987,0.0,0.7133906332703228,5.781985795198241,ok
fins,n=6 c=160mm,nan,nan,6,0.16,nan,1706.8316818437138,566.3765895200462,143.7350030529752,0.0,0.7190867891564742,5.686241647386189,ok
fins,n=6 c=180mm,nan,nan,6,0.18,nan,1700.881897177902,565.5180177944238,143.72937806858317,0.0,0.7248042677208679,5.850392666161526,ok
fins,n=6 c=200mm,nan,nan,6,0.2,nan,1694.9053571614766,564.7003335770783,143.7237520884826,0.0,0.7364809307170314,5.733995481660931,ok
fins,n=6 c=220mm,nan,nan,6,0.22,nan,1689.7656039791918,563.8558486706474,143.71816382271035,0.0,0.7431576190046467,5.6645855185899,ok
fins,n=8 c=140mm,nan,nan,8,0.14,nan,1695.7902457733712,564.2570471537178,143.72368867921233,0.0,0.5917322882192204,5.155857906496942,ok
fins,n=8 c=160mm,nan,nan,8,0.16,nan,1687.502902728744,563.0609025355146,143.71567061832485,0.0,0.6019227131325724,5.098521860731897,ok
fins,n=8 c=180mm,nan,nan,8,0.18,nan,1680.145384524987,561.8920208401121,143.70798873932563,0.0,0.607851799602479,5.048473609805551,ok
fins,n=8 c=200mm,nan,nan,8,0.2,nan,1672.048932709891,560.7334371047789,143.70024618832628,0.0,0.6187944455042528,4.988159509257967,ok
fins,n=8 c=220mm,nan,nan,8,0.22,nan,1664.8215371100307,559.6270419697305,143.6928043953173,0.0,0.6298194059541713,5.134032463713622,ok
cant,cant=0.0°,nan,nan,nan,nan,0.0,1718.9271864411312,568.8270065864294,143.74712452553297,0.0,0.8508602899694985,6.78659597756092,ok
cant,cant=0.1°,nan,nan,nan,nan,0.1,1719.000117757155,568.7919795058017,143.74719868833625,0.0,0.842583549387723,6.793551323921551,ok
cant,cant=0.25°,nan,nan,nan,nan,0.25,1718.9998520892595,568.7923561373129,143.7471987100772,0.0,0.8425847086259953,6.792042449560359,ok
cant,cant=0.4°,nan,nan,nan,nan,0.4,1639.631235901723,569.8872761890811,143.74446885403748,88.85875374165744,105.79635821357289,3.52,tumbling
cant,cant=0.5°,nan,nan,nan,nan,0.5,1599.3268775564138,569.7319584956333,143.74451220315868,72.8542230304129,102.71200405732021,3.49,tumbling
cant,cant=0.7°,nan,nan,nan,nan,0.7,1717.156964324518,568.0520239758255,143.7397120235232,4.20201096768995,1.7616807913854857,14.039181204518606,ok
cant,cant=1.0°,nan,nan,nan,nan,1.0,1716.9211091846232,568.0075414381864,143.73934228963657,4.233187445939282,1.7453339031235255,15.335387662324464,ok
